ms,degC
516,35.00
3025,35.06
5534,35.06
8044,35.13
10553,35.13
13063,35.13
15571,35.19
18081,35.13
20591,35.19
23100,35.19
25610,35.19
28120,35.19
30628,35.25
33138,35.38
35648,35.25
38157,35.25
40667,35.31
43176,35.31
45685,35.38
48195,35.38
50705,35.38
53214,35.38
55724,35.44
58233,35.44
60742,35.50
63252,35.44
65762,35.50
68271,35.50
70780,35.44
73290,35.50
75800,35.50
78309,35.56
80819,35.50
83329,35.56
85837,35.56
88347,35.56
90857,35.56
93367,35.56
95876,35.56
98385,35.63
100895,35.63
103405,35.63
105914,35.69
108424,35.69
110934,35.69
113443,35.69
115953,35.75
118462,35.75
120972,35.75
123482,35.75
125991,35.69
128501,35.44
131010,35.19
