ms,degC
516,34.25
3024,34.25
5534,34.25
8043,34.25
10552,34.31
13062,34.31
15570,34.38
18080,34.38
20589,34.38
23099,34.38
25608,34.44
28118,34.44
30626,34.50
33136,34.50
35645,34.56
38155,34.56
40664,34.56
43173,34.63
45683,34.56
48192,34.63
50702,34.63
53211,34.63
55720,34.63
58229,34.69
60739,34.69
63248,34.69
65758,34.69
68267,34.75
70776,34.75
73285,34.75
75795,34.81
78305,34.81
80814,34.81
83323,34.81
85832,34.81
88342,34.88
90851,34.81
93361,34.88
95870,34.88
98379,34.88
100889,34.88
103398,34.94
105908,34.88
108418,34.94
110926,34.94
113436,34.94
115946,34.94
118455,34.94
120965,34.94
123473,34.94
125983,35.00
128493,34.94
131002,35.00
133512,35.00
136022,34.94
138530,34.75
141040,34.50
143549,34.25
146059,33.94
