ms,degC
516,35.31
3025,35.38
5534,35.38
8044,35.44
10554,35.44
13063,35.44
15572,35.50
18082,35.50
20591,35.50
23101,35.50
25611,35.50
28120,35.56
30629,35.56
33139,35.63
35649,35.63
38158,35.56
40668,35.63
43177,35.63
45687,35.63
48196,35.63
50706,35.69
53216,35.69
55726,35.69
58234,35.69
60744,35.69
63254,35.75
65764,35.75
68273,35.75
70782,35.75
73292,35.75
75802,35.81
78311,35.81
80821,35.81
83331,35.81
85840,35.81
88349,35.81
90859,35.88
93369,35.88
95879,35.88
98388,35.94
100897,35.88
103407,35.94
105917,35.94
108427,35.94
110937,35.88
113445,35.94
