ms,degC
516,34.94
3024,35.00
5534,35.00
8043,35.00
10553,35.06
13062,35.06
15571,35.13
93363,35.44
95872,35.38
98381,35.44
100891,35.44
103400,35.38
105910,35.44
108420,35.44
110928,35.44
113438,35.44
115948,35.44
118457,35.50
120967,35.44
123476,35.50
125986,35.44
128495,35.50
131005,35.50
133515,35.50
136024,35.56
138533,35.56
141043,35.50
143552,35.50
146062,35.50
148572,35.56
151081,35.56
153590,35.63
156100,35.56
158610,35.56
161119,35.56
163629,35.56
166138,35.56
168648,35.56
178686,35.56
181195,35.63
183705,35.63
186215,35.56
188725,35.63
191234,35.63
193743,35.63
196253,35.63
198763,35.63
201272,35.56
203782,35.38
206290,35.25
