ms,degC
516,35.56
3025,35.44
5534,35.38
8044,35.38
10554,35.38
13063,35.31
15572,35.31
18082,35.31
20592,35.38
23101,35.44
25611,35.44
28121,35.50
30630,35.56
33140,35.63
35649,35.63
38159,35.75
40669,35.81
43179,35.81
45688,35.88
48197,35.94
50707,36.00
53217,36.00
55727,36.00
58236,36.06
60746,36.13
63256,36.13
65766,36.13
68275,36.19
70785,36.19
73294,36.25
75804,36.31
78314,36.31
80824,36.31
83334,36.31
85843,36.44
88353,36.44
90863,36.38
93372,36.44
95882,36.50
98392,36.50
100901,36.50
103411,36.56
105921,36.56
108431,36.56
110941,36.56
113451,36.63
115960,36.63
118470,36.63
120980,36.63
123490,36.69
126000,36.56
128509,36.19
131019,35.88
133531,35.31
136041,35.81
