ms,degC
516,34.50
3024,34.56
5534,34.69
8043,34.69
10553,34.75
13062,34.81
15571,34.88
18081,34.94
20590,35.00
23100,35.06
25609,35.06
28119,35.13
30628,35.19
33137,35.25
35647,35.25
38157,35.31
40666,35.38
43175,35.38
45685,35.44
48194,35.44
50704,35.50
53214,35.56
55723,35.56
58232,35.63
60742,35.63
63251,35.69
65761,35.69
68271,35.69
70780,35.75
73289,35.75
75799,35.81
78309,35.81
80818,35.88
83328,35.88
85837,35.94
88347,35.94
90856,35.94
93366,35.94
95876,36.00
98385,36.00
100895,36.06
103404,36.06
105914,36.06
108424,36.06
110934,36.13
113443,36.13
115953,36.13
118463,36.19
120973,36.19
123483,36.19
125991,36.19
128501,36.19
131011,36.19
133521,36.25
136031,36.25
138541,36.31
141050,36.19
143560,35.94
146069,35.69
