ms,degC
516,34.38
3024,34.44
5534,34.50
8043,34.56
10553,34.63
13062,34.63
15571,34.69
18080,34.75
20590,34.75
23100,34.81
25609,34.88
28119,34.88
30627,34.94
33137,34.94
35647,35.00
38156,35.00
40666,35.06
43175,35.06
45684,35.06
48194,35.13
50703,35.19
53213,35.25
55723,35.31
58231,35.25
60741,35.31
63251,35.31
65760,35.38
68270,35.38
70779,35.44
73288,35.44
75798,35.44
78308,35.50
80817,35.50
83326,35.50
85836,35.56
88346,35.56
90855,35.63
93365,35.63
95875,35.63
98383,35.63
100893,35.63
103403,35.69
105913,35.69
108423,35.75
110931,35.75
113441,35.75
115951,35.75
118461,35.81
120971,35.88
123481,35.81
125989,35.63
128568,35.31
